dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
cifar10,efficientnetv2_s,,entropy,10,0.1,0.5985,0.6312222222222222,9000
cifar10,efficientnetv2_s,,entropy,20,0.2,0.5985,0.662625,8000
cifar10,efficientnetv2_s,,entropy,30,0.3,0.5985,0.6985714285714286,7000
cifar10,efficientnetv2_s,,entropy,40,0.4,0.5985,0.732,6000
cifar10,efficientnetv2_s,,entropy,50,0.5,0.5985,0.7676,5000
cifar10,efficientnetv2_s,,gradient,10,0.1,0.5985,0.5945555555555555,9000
cifar10,efficientnetv2_s,,gradient,20,0.2,0.5985,0.585375,8000
cifar10,efficientnetv2_s,,gradient,30,0.3,0.5985,0.5737142857142857,7000
cifar10,efficientnetv2_s,,gradient,40,0.4,0.5985,0.5576666666666666,6000
cifar10,efficientnetv2_s,,gradient,50,0.5,0.5985,0.5414,5000
cifar10,efficientnetv2_s,,hybrid,10,0.1,0.5985,0.631,9000
cifar10,efficientnetv2_s,,hybrid,20,0.2,0.5985,0.66325,8000
cifar10,efficientnetv2_s,,hybrid,30,0.3,0.5985,0.7011428571428572,7000
cifar10,efficientnetv2_s,,hybrid,40,0.4,0.5985,0.7346666666666667,6000
cifar10,efficientnetv2_s,,hybrid,50,0.5,0.5985,0.7744,5000
cifar10,mobilenetv3_small,,entropy,10,0.1,0.6515,0.6907777777777778,9000
cifar10,mobilenetv3_small,,entropy,20,0.2,0.6515,0.725,8000
cifar10,mobilenetv3_small,,entropy,30,0.3,0.6515,0.7638571428571429,7000
cifar10,mobilenetv3_small,,entropy,40,0.4,0.6515,0.8013333333333333,6000
cifar10,mobilenetv3_small,,entropy,50,0.5,0.6515,0.8392,5000
cifar10,mobilenetv3_small,,gradient,10,0.1,0.6515,0.6432222222222223,9000
cifar10,mobilenetv3_small,,gradient,20,0.2,0.6515,0.631125,8000
cifar10,mobilenetv3_small,,gradient,30,0.3,0.6515,0.6198571428571429,7000
cifar10,mobilenetv3_small,,gradient,40,0.4,0.6515,0.6073333333333333,6000
cifar10,mobilenetv3_small,,gradient,50,0.5,0.6515,0.5884,5000
cifar10,mobilenetv3_small,,hybrid,10,0.1,0.6515,0.6908888888888889,9000
