dataset,model,seed,method,AUROC_error,ECE,ARC_area,AvUC
cifar10,efficientnetv2_s,,entropy,0.7327088996879912,0.020445213383436203,0.7489960131466493,0.4114464911178697
cifar10,efficientnetv2_s,,gradient,0.43010569179278624,0.020445213383436203,0.540663739971281,0.39967050893251654
cifar10,efficientnetv2_s,,hybrid,0.7455799315640701,0.020445213383436203,0.7835703794692742,0.40555850007371047
cifar10,mobilenetv3_small,,entropy,0.7753634863151033,0.02410815902799368,0.8344428929998826,0.3677316023730848
cifar10,mobilenetv3_small,,gradient,0.4103950160263645,0.02410815902799368,0.5842442318057115,0.3573299327073968
cifar10,mobilenetv3_small,,hybrid,0.7762168090192482,0.02410815902799368,0.8369221421805477,0.3625307674789801
cifar10,shufflenetv2_0_5,,entropy,0.8002278698647673,0.06783622358441355,0.8872379932727339,0.3024116761891827
cifar10,shufflenetv2_0_5,,gradient,0.44986989768380536,0.06783622358441355,0.6808665412249759,0.3069170468907134
cifar10,shufflenetv2_0_5,,hybrid,0.8050839274426312,0.06783622358441355,0.8912934527861591,0.304664361524675
cifar100,efficientnetv2_s,,entropy,0.7615431668308917,0.07630108695514501,0.5182566026873909,0.3796954449267522
cifar100,efficientnetv2_s,,gradient,0.4350575635162757,0.07630108695514501,0.3020762595855697,0.6546567910788316
cifar100,efficientnetv2_s,,hybrid,0.7760012492415431,0.07630108695514501,0.5621329383614124,0.5171761179577384
cifar100,mobilenetv3_small,,entropy,0.8020899928076168,0.13986421242132782,0.7076578998191629,0.3825282747862399
cifar100,mobilenetv3_small,,gradient,0.3854767025505049,0.13986421242132782,0.37940987277854854,0.5424334676263854
cifar100,mobilenetv3_small,,hybrid,0.7750601186399115,0.13986421242132782,0.6794904179350953,0.46248087125793097
cifar100,shufflenetv2_0_5,,entropy,0.8033180213999336,0.13594136533215642,0.6731924619302297,0.38510959607428097
cifar100,shufflenetv2_0_5,,gradient,0.4612998901912715,0.13594136533215642,0.3996330334260203,0.5389114039547741
cifar100,shufflenetv2_0_5,,hybrid,0.763157200132792,0.13594136533215642,0.642930985567552,0.46201050000451505
tinyimagenet,efficientnetv2_s,,entropy,0.8119376650948564,0.24978531435877083,0.6573765581082561,0.41476484226267346
tinyimagenet,efficientnetv2_s,,gradient,0.4357225852086958,0.24978531435877083,0.3661228222878075,0.5616220761699602
tinyimagenet,efficientnetv2_s,,hybrid,0.7796829888318039,0.24978531435877083,0.6255855704453157,0.48819345922023055
tinyimagenet,mobilenetv3_small,,entropy,0.8052847442904063,0.1916449978455901,0.6522711927444496,0.40339771055332013
tinyimagenet,mobilenetv3_small,,gradient,0.37883106171500314,0.1916449978455901,0.31553115910317164,0.570762167917844
tinyimagenet,mobilenetv3_small,,hybrid,0.7622004074945841,0.1916449978455901,0.6117137511599708,0.48707993924729526
tinyimagenet,shufflenetv2_0_5,,entropy,0.8058882172315613,0.1572784198746085,0.6230624656387669,0.4018742905432
tinyimagenet,shufflenetv2_0_5,,gradient,0.43548653953418026,0.1572784198746085,0.32982582296704127,0.5641992387600243
tinyimagenet,shufflenetv2_0_5,,hybrid,0.7638709266299143,0.1572784198746085,0.5876040312857853,0.4830367646031082
tissuemnist,efficientnetv2_s,,entropy,0.7340766518719609,0.22437680810784477,0.7897466819182515,0.3529694161359976
tissuemnist,efficientnetv2_s,,gradient,0.6295469184911062,0.22437680810784477,0.7333250287169104,0.4164289857735408
tissuemnist,efficientnetv2_s,,hybrid,0.737662898518468,0.22437680810784477,0.792939903457499,0.38469920098379157
tissuemnist,mobilenetv3_small,,entropy,0.7579605791125771,0.03338314580515203,0.8274580673278963,0.3845215201303473
tissuemnist,mobilenetv3_small,,gradient,0.44972389982026045,0.03338314580515203,0.6118249209390375,0.41143081058146685
tissuemnist,mobilenetv3_small,,hybrid,0.7409139023530742,0.03338314580515203,0.8168829633095732,0.397976165407695
tissuemnist,shufflenetv2_0_5,,entropy,0.7510740923233199,0.0464968078475061,0.81431680927625,0.38689401023469977
tissuemnist,shufflenetv2_0_5,,gradient,0.46776478490669393,0.0464968078475061,0.6111765009879542,0.43339983118973924
tissuemnist,shufflenetv2_0_5,,hybrid,0.7218240711910106,0.0464968078475061,0.7974600187092513,0.4101469206807319
