dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
cifar10,efficientnetv2_s,42,entropy,10,0.1,0.7007,0.742,9000
cifar10,efficientnetv2_s,42,entropy,20,0.2,0.7007,0.77775,8000
cifar10,efficientnetv2_s,42,entropy,30,0.3,0.7007,0.8108571428571428,7000
cifar10,efficientnetv2_s,42,entropy,40,0.4,0.7007,0.8461666666666666,6000
cifar10,efficientnetv2_s,42,entropy,50,0.5,0.7007,0.8616,5000
cifar10,efficientnetv2_s,42,gradient,10,0.1,0.7007,0.7311111111111112,9000
cifar10,efficientnetv2_s,42,gradient,20,0.2,0.7007,0.771625,8000
cifar10,efficientnetv2_s,42,gradient,30,0.3,0.7007,0.8138571428571428,7000
cifar10,efficientnetv2_s,42,gradient,40,0.4,0.7007,0.851,6000
cifar10,efficientnetv2_s,42,gradient,50,0.5,0.7007,0.8836,5000
cifar10,efficientnetv2_s,42,hybrid,10,0.1,0.7007,0.7418888888888889,9000
cifar10,efficientnetv2_s,42,hybrid,20,0.2,0.7007,0.778,8000
cifar10,efficientnetv2_s,42,hybrid,30,0.3,0.7007,0.811,7000
cifar10,efficientnetv2_s,42,hybrid,40,0.4,0.7007,0.8473333333333334,6000
cifar10,efficientnetv2_s,42,hybrid,50,0.5,0.7007,0.8682,5000
cifar10,mobilenetv3_small,42,entropy,10,0.1,0.7179,0.7566666666666667,9000
cifar10,mobilenetv3_small,42,entropy,20,0.2,0.7179,0.793375,8000
cifar10,mobilenetv3_small,42,entropy,30,0.3,0.7179,0.8297142857142857,7000
cifar10,mobilenetv3_small,42,entropy,40,0.4,0.7179,0.8583333333333333,6000
cifar10,mobilenetv3_small,42,entropy,50,0.5,0.7179,0.8722,5000
cifar10,mobilenetv3_small,42,gradient,10,0.1,0.7179,0.7448888888888889,9000
cifar10,mobilenetv3_small,42,gradient,20,0.2,0.7179,0.78225,8000
cifar10,mobilenetv3_small,42,gradient,30,0.3,0.7179,0.8208571428571428,7000
cifar10,mobilenetv3_small,42,gradient,40,0.4,0.7179,0.8645,6000
cifar10,mobilenetv3_small,42,gradient,50,0.5,0.7179,0.9014,5000
cifar10,mobilenetv3_small,42,hybrid,10,0.1,0.7179,0.7551111111111111,9000
cifar10,mobilenetv3_small,42,hybrid,20,0.2,0.7179,0.792375,8000
cifar10,mobilenetv3_small,42,hybrid,30,0.3,0.7179,0.8331428571428572,7000
cifar10,mobilenetv3_small,42,hybrid,40,0.4,0.7179,0.8656666666666667,6000
cifar10,mobilenetv3_small,42,hybrid,50,0.5,0.7179,0.8978,5000
cifar10,shufflenetv2_0_5,42,entropy,10,0.1,0.7219,0.7647777777777778,9000
cifar10,shufflenetv2_0_5,42,entropy,20,0.2,0.7219,0.8065,8000
cifar10,shufflenetv2_0_5,42,entropy,30,0.3,0.7219,0.8418571428571429,7000
cifar10,shufflenetv2_0_5,42,entropy,40,0.4,0.7219,0.865,6000
cifar10,shufflenetv2_0_5,42,entropy,50,0.5,0.7219,0.881,5000
cifar10,shufflenetv2_0_5,42,gradient,10,0.1,0.7219,0.7588888888888888,9000
cifar10,shufflenetv2_0_5,42,gradient,20,0.2,0.7219,0.797875,8000
cifar10,shufflenetv2_0_5,42,gradient,30,0.3,0.7219,0.8398571428571429,7000
cifar10,shufflenetv2_0_5,42,gradient,40,0.4,0.7219,0.8826666666666667,6000
cifar10,shufflenetv2_0_5,42,gradient,50,0.5,0.7219,0.912,5000
cifar10,shufflenetv2_0_5,42,hybrid,10,0.1,0.7219,0.7632222222222222,9000
cifar10,shufflenetv2_0_5,42,hybrid,20,0.2,0.7219,0.809125,8000
cifar10,shufflenetv2_0_5,42,hybrid,30,0.3,0.7219,0.846,7000
cifar10,shufflenetv2_0_5,42,hybrid,40,0.4,0.7219,0.8785,6000
cifar10,shufflenetv2_0_5,42,hybrid,50,0.5,0.7219,0.902,5000
cifar10-c,efficientnetv2_s,42,entropy,10,0.1,0.6145736842105263,0.6521520467836257,171000
cifar10-c,efficientnetv2_s,42,entropy,20,0.2,0.6145736842105263,0.6852302631578947,152000
cifar10-c,efficientnetv2_s,42,entropy,30,0.3,0.6145736842105263,0.7200601503759398,133000
cifar10-c,efficientnetv2_s,42,entropy,40,0.4,0.6145736842105263,0.7564912280701754,114000
cifar10-c,efficientnetv2_s,42,entropy,50,0.5,0.6145736842105263,0.7925368421052632,95000
cifar10-c,efficientnetv2_s,42,gradient,10,0.1,0.6145736842105263,0.641608187134503,171000
cifar10-c,efficientnetv2_s,42,gradient,20,0.2,0.6145736842105263,0.6745526315789474,152000
cifar10-c,efficientnetv2_s,42,gradient,30,0.3,0.6145736842105263,0.7156541353383459,133000
cifar10-c,efficientnetv2_s,42,gradient,40,0.4,0.6145736842105263,0.7603684210526316,114000
cifar10-c,efficientnetv2_s,42,gradient,50,0.5,0.6145736842105263,0.8012736842105264,95000
cifar10-c,efficientnetv2_s,42,hybrid,10,0.1,0.6145736842105263,0.6520818713450293,171000
cifar10-c,efficientnetv2_s,42,hybrid,20,0.2,0.6145736842105263,0.6852894736842106,152000
cifar10-c,efficientnetv2_s,42,hybrid,30,0.3,0.6145736842105263,0.720172932330827,133000
cifar10-c,efficientnetv2_s,42,hybrid,40,0.4,0.6145736842105263,0.7565701754385965,114000
cifar10-c,efficientnetv2_s,42,hybrid,50,0.5,0.6145736842105263,0.7932,95000
cifar10-c,mobilenetv3_small,42,entropy,10,0.1,0.6285631578947368,0.6653450292397661,171000
cifar10-c,mobilenetv3_small,42,entropy,20,0.2,0.6285631578947368,0.7006842105263158,152000
cifar10-c,mobilenetv3_small,42,entropy,30,0.3,0.6285631578947368,0.7362781954887218,133000
cifar10-c,mobilenetv3_small,42,entropy,40,0.4,0.6285631578947368,0.7722719298245614,114000
cifar10-c,mobilenetv3_small,42,entropy,50,0.5,0.6285631578947368,0.804221052631579,95000
cifar10-c,mobilenetv3_small,42,gradient,10,0.1,0.6285631578947368,0.65346783625731,171000
cifar10-c,mobilenetv3_small,42,gradient,20,0.2,0.6285631578947368,0.6843092105263158,152000
cifar10-c,mobilenetv3_small,42,gradient,30,0.3,0.6285631578947368,0.7219849624060151,133000
cifar10-c,mobilenetv3_small,42,gradient,40,0.4,0.6285631578947368,0.7668421052631579,114000
cifar10-c,mobilenetv3_small,42,gradient,50,0.5,0.6285631578947368,0.8155157894736842,95000
cifar10-c,mobilenetv3_small,42,hybrid,10,0.1,0.6285631578947368,0.6615906432748538,171000
cifar10-c,mobilenetv3_small,42,hybrid,20,0.2,0.6285631578947368,0.6981184210526316,152000
cifar10-c,mobilenetv3_small,42,hybrid,30,0.3,0.6285631578947368,0.737390977443609,133000
cifar10-c,mobilenetv3_small,42,hybrid,40,0.4,0.6285631578947368,0.7773070175438597,114000
cifar10-c,mobilenetv3_small,42,hybrid,50,0.5,0.6285631578947368,0.8167894736842105,95000
cifar10-c,shufflenetv2_0_5,42,entropy,10,0.1,0.598121052631579,0.6334502923976608,171000
cifar10-c,shufflenetv2_0_5,42,entropy,20,0.2,0.598121052631579,0.6679539473684211,152000
cifar10-c,shufflenetv2_0_5,42,entropy,30,0.3,0.598121052631579,0.7028947368421052,133000
cifar10-c,shufflenetv2_0_5,42,entropy,40,0.4,0.598121052631579,0.7378333333333333,114000
cifar10-c,shufflenetv2_0_5,42,entropy,50,0.5,0.598121052631579,0.7681684210526316,95000
cifar10-c,shufflenetv2_0_5,42,gradient,10,0.1,0.598121052631579,0.6261169590643275,171000
cifar10-c,shufflenetv2_0_5,42,gradient,20,0.2,0.598121052631579,0.6576118421052631,152000
cifar10-c,shufflenetv2_0_5,42,gradient,30,0.3,0.598121052631579,0.6957218045112782,133000
cifar10-c,shufflenetv2_0_5,42,gradient,40,0.4,0.598121052631579,0.7400614035087719,114000
cifar10-c,shufflenetv2_0_5,42,gradient,50,0.5,0.598121052631579,0.7870421052631579,95000
cifar10-c,shufflenetv2_0_5,42,hybrid,10,0.1,0.598121052631579,0.6325555555555555,171000
cifar10-c,shufflenetv2_0_5,42,hybrid,20,0.2,0.598121052631579,0.667921052631579,152000
cifar10-c,shufflenetv2_0_5,42,hybrid,30,0.3,0.598121052631579,0.7054812030075188,133000
cifar10-c,shufflenetv2_0_5,42,hybrid,40,0.4,0.598121052631579,0.7442456140350877,114000
cifar10-c,shufflenetv2_0_5,42,hybrid,50,0.5,0.598121052631579,0.7841157894736842,95000
cifar100,efficientnetv2_s,42,entropy,10,0.1,0.3222,0.3457777777777778,9000
cifar100,efficientnetv2_s,42,entropy,20,0.2,0.3222,0.3735,8000
